강,접수번호,국   명,천연기념물,멸종 위기종,구조 일자,구조결과일자,구조 결과,발견장소 특징,기준일자
조강(Aves),2021-0001,말똥가리,해당없음,해당없음,2021-01-02,2021-01-02,DOA,숲,2021-09-13
포유강(Mammalia),2021-0002,너구리,해당없음,해당없음,2021-01-02,2021-01-13,폐사,농경지,2021-09-13
조강(Aves),2021-0003,참매,323-1,2 급,2021-01-02,2021-01-03,DOA,숲,2021-09-13
포유강(Mammalia),2021-0004,너구리,해당없음,해당없음,2021-01-04,2021-01-06,안락사,건물옆,2021-09-13
조강(Aves),2021-0005,직박구리,해당없음,해당없음,2021-01-04,2021-01-04,DOA,기타,2021-09-13
포유강(Mammalia),2021-0006,고라니,해당없음,해당없음,2021-01-04,2021-01-08,방생,도로변,2021-09-13
조강(Aves),2021-0007,황조롱이,323-8,해당없음,2021-01-06,2021-01-11,안락사,건물옆,2021-09-13
조강(Aves),2021-0008,왜가리,해당없음,해당없음,2021-01-07,2021-01-07,DOA,농경지,2021-09-13
조강(Aves),2021-0009,집비둘기,해당없음,해당없음,2021-01-08,2021-01-14,안락사,건물옆,2021-09-13
조강(Aves),2021-0010,밀화부리,해당없음,해당없음,2021-01-08,2021-01-21,방생,건물옆,2021-09-13
조강(Aves),2021-0011,말똥가리,해당없음,해당없음,2021-01-08,2021-01-09,DOA,숲,2021-09-13
조강(Aves),2021-0012,집비둘기,해당없음,해당없음,2021-01-08,2021-01-08,방생,건물옆,2021-09-13
조강(Aves),2021-0013,떼까마귀,해당없음,해당없음,2021-01-08,2021-02-09,방생,건물옆,2021-09-13
조강(Aves),2021-0014,붉은머리오목눈이,해당없음,해당없음,2021-01-09,2021-01-09,DOA,건물옆,2021-09-13
조강(Aves),2021-0015,붉은머리오목눈이,해당없음,해당없음,2021-01-09,2021-01-09,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0016,고라니,해당없음,해당없음,2021-01-09,2021-01-11,안락사,건물옆,2021-09-13
조강(Aves),2021-0017,동박새,해당없음,해당없음,2021-01-10,2021-01-10,DOA,건물옆,2021-09-13
조강(Aves),2021-0018,직박구리,해당없음,해당없음,2021-01-11,2021-01-13,방생,기타,2021-09-13
조강(Aves),2021-0019,큰말똥가리,해당없음,2 급,2021-01-11,2021-01-27,방생,농경지,2021-09-13
조강(Aves),2021-0020,말똥가리,해당없음,해당없음,2021-01-12,2021-01-18,방생,기타,2021-09-13
조강(Aves),2021-0021,집비둘기,해당없음,해당없음,2021-01-12,2021-02-09,방생,건물옆,2021-09-13
조강(Aves),2021-0022,떼까마귀,해당없음,해당없음,2021-01-12,2021-01-14,폐사,농경지,2021-09-13
조강(Aves),2021-0023,말똥가리,해당없음,해당없음,2021-01-12,2021-01-18,방생,도로변,2021-09-13
조강(Aves),2021-0024,황조롱이,323-8,해당없음,2021-01-13,2021-02-08,방생,건물옆,2021-09-13
조강(Aves),2021-0025,새매,323-4,2 급,2021-01-13,2021-01-14,DOA,기타,2021-09-13
조강(Aves),2021-0026,물총새,해당없음,해당없음,2021-01-14,2021-01-14,DOA,건물옆,2021-09-13
조강(Aves),2021-0027,집비둘기,해당없음,해당없음,2021-01-15,2021-01-16,안락사,도로변,2021-09-13
조강(Aves),2021-0028,떼까마귀,해당없음,해당없음,2021-01-16,2021-01-16,DOA,강 바다,2021-09-13
조강(Aves),2021-0029,큰말똥가리,해당없음,2 급,2021-01-16,2021-02-01,안락사,기타,2021-09-13
포유강(Mammalia),2021-0030,고라니,해당없음,해당없음,2021-01-17,2021-01-26,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0031,고라니,해당없음,해당없음,2021-01-17,2021-01-17,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0032,너구리,해당없음,해당없음,2021-01-17,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0033,붉은부리갈매기,해당없음,해당없음,2021-01-18,2021-01-18,안락사,강 바다,2021-09-13
조강(Aves),2021-0034,동박새,해당없음,해당없음,2021-01-19,2021-01-19,방생,건물옆,2021-09-13
조강(Aves),2021-0035,직박구리,해당없음,해당없음,2021-01-19,2021-01-19,DOA,건물옆,2021-09-13
조강(Aves),2021-0036,떼까마귀,해당없음,해당없음,2021-01-20,2021-03-05,안락사,농경지,2021-09-13
포유강(Mammalia),2021-0037,너구리,해당없음,해당없음,2021-01-20,2021-02-08,방생,기타,2021-09-13
조강(Aves),2021-0038,동박새,해당없음,해당없음,2021-01-20,2021-01-21,방생,건물옆,2021-09-13
조강(Aves),2021-0039,직박구리,해당없음,해당없음,2021-01-21,2021-02-22,방생,건물옆,2021-09-13
조강(Aves),2021-0040,집비둘기,해당없음,해당없음,2021-01-23,2021-01-26,폐사,건물옆,2021-09-13
조강(Aves),2021-0041,큰회색머리아비,해당없음,해당없음,2021-01-24,2021-01-24,DOA,건물옆,2021-09-13
조강(Aves),2021-0042,후투티,해당없음,해당없음,2021-01-24,2021-02-08,방생,농경지,2021-09-13
조강(Aves),2021-0043,직박구리,해당없음,해당없음,2021-01-25,2021-01-25,방생,기타,2021-09-13
조강(Aves),2021-0044,새매,323-4,2 급,2021-01-25,2021-02-08,방생,기타,2021-09-13
조강(Aves),2021-0045,말똥가리,해당없음,해당없음,2021-01-26,2021-02-09,방생,숲,2021-09-13
포유강(Mammalia),2021-0046,고라니,해당없음,해당없음,2021-01-27,2021-01-27,DOA,기타,2021-09-13
포유강(Mammalia),2021-0047,담비,해당없음,2 급,2021-01-25,2021-01-27,폐사체,도로변,2021-09-13
조강(Aves),2021-0048,독수리,243-1,2 급,2021-01-28,2021-01-28,폐사체,도로변,2021-09-13
조강(Aves),2021-0049,독수리,243-1,2 급,2021-01-28,2021-03-16,방생,도로변,2021-09-13
조강(Aves),2021-0050,홍여새,해당없음,해당없음,2021-01-29,2021-03-22,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0051,너구리,해당없음,해당없음,2021-01-30,2021-02-02,폐사,숲,2021-09-13
포유강(Mammalia),2021-0052,너구리,해당없음,해당없음,2021-01-31,2021-02-03,폐사,숲,2021-09-13
조강(Aves),2021-0053,떼까마귀,해당없음,해당없음,2021-02-01,2021-03-10,안락사,건물옆,2021-09-13
조강(Aves),2021-0054,집비둘기,해당없음,해당없음,2021-02-01,2021-02-09,방생,건물옆,2021-09-13
조강(Aves),2021-0055,떼까마귀,해당없음,해당없음,2021-02-01,2021-03-30,방생,도로변,2021-09-13
조강(Aves),2021-0056,수리부엉이,324-2,2 급,2021-02-02,2021-02-09,방생,농경지,2021-09-13
조강(Aves),2021-0057,꿩,해당없음,해당없음,2021-02-02,2021-02-17,방생,건물옆,2021-09-13
조강(Aves),2021-0058,멧비둘기,해당없음,해당없음,2021-02-02,2021-03-22,방생,건물옆,2021-09-13
조강(Aves),2021-0059,황조롱이,323-8,해당없음,2021-02-02,2021-02-02,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0060,족제비,해당없음,해당없음,2021-02-02,2021-02-03,DOA,도로변,2021-09-13
조강(Aves),2021-0061,독수리,243-1,2 급,2021-02-03,2021-02-04,안락사,농경지,2021-09-13
조강(Aves),2021-0062,독수리,243-1,2 급,2021-02-04,2021-03-16,방생,농경지,2021-09-13
포유강(Mammalia),2021-0063,너구리,해당없음,해당없음,2021-02-05,2021-02-07,폐사,숲,2021-09-13
조강(Aves),2021-0064,흰배지빠귀,해당없음,해당없음,2021-02-05,2021-02-05,방생,건물옆,2021-09-13
조강(Aves),2021-0065,집비둘기,해당없음,해당없음,2021-02-05,2021-02-05,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0066,너구리,해당없음,해당없음,2021-02-05,2021-02-09,폐사,기타,2021-09-13
조강(Aves),2021-0067,떼까마귀,해당없음,해당없음,2021-02-06,2021-02-08,폐사,건물옆,2021-09-13
조강(Aves),2021-0068,독수리,243-1,2 급,2021-02-07,2021-02-08,안락사,강 바다,2021-09-13
조강(Aves),2021-0069,독수리,243-1,2 급,2021-02-07,2021-03-16,방생,숲,2021-09-13
조강(Aves),2021-0070,말똥가리,해당없음,해당없음,2021-02-08,2021-03-22,방생,도로변,2021-09-13
조강(Aves),2021-0071,집비둘기,해당없음,해당없음,2021-02-08,2021-02-09,DOA,건물옆,2021-09-13
조강(Aves),2021-0072,재갈매기,해당없음,해당없음,2021-02-09,2021-03-29,안락사,기타,2021-09-13
조강(Aves),2021-0073,집비둘기,해당없음,해당없음,2021-02-09,2021-03-15,방생,기타,2021-09-13
조강(Aves),2021-0074,떼까마귀,해당없음,해당없음,2021-02-10,2021-02-10,방생,기타,2021-09-13
포유강(Mammalia),2021-0075,고라니,해당없음,해당없음,2021-02-12,2021-02-12,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0076,고라니,해당없음,해당없음,2021-02-15,2021-02-16,DOA,강 바다,2021-09-13
조강(Aves),2021-0077,집비둘기,해당없음,해당없음,2021-02-16,2021-02-16,안락사,건물옆,2021-09-13
조강(Aves),2021-0078,집비둘기,해당없음,해당없음,2021-02-16,2021-02-16,안락사,도로변,2021-09-13
조강(Aves),2021-0079,떼까마귀,해당없음,해당없음,2021-02-16,2021-02-17,안락사,도로변,2021-09-13
조강(Aves),2021-0080,멧비둘기,해당없음,해당없음,2021-02-18,2021-02-26,안락사,기타,2021-09-13
조강(Aves),2021-0081,떼까마귀,해당없음,해당없음,2021-02-18,2021-03-15,방생,기타,2021-09-13
조강(Aves),2021-0082,황조롱이,323-8,해당없음,2021-02-19,2021-06-10,방생,건물옆,2021-09-13
조강(Aves),2021-0083,뿔논병아리,해당없음,해당없음,2021-02-19,2021-02-24,방생,기타,2021-09-13
조강(Aves),2021-0084,멧비둘기,해당없음,해당없음,2021-02-19,2021-02-19,DOA,도로변,2021-09-13
조강(Aves),2021-0085,멧비둘기,해당없음,해당없음,2021-02-20,2021-02-20,DOA,건물옆,2021-09-13
조강(Aves),2021-0086,매,323-7,1 급,2021-02-21,2021-02-28,안락사,농경지,2021-09-13
조강(Aves),2021-0087,까치,해당없음,해당없음,2021-02-22,2021-06-22,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0088,고라니,해당없음,해당없음,2021-02-22,2021-02-25,안락사,강 바다,2021-09-13
파충강(Reptilia),2021-0089,남생이,453,2 급,2021-02-19,2021-02-24,DOA,건물옆,2021-09-13
조강(Aves),2021-0090,독수리,243-1,2 급,2021-02-24,2021-03-11,안락사,농경지,2021-09-13
포유강(Mammalia),2021-0091,고라니,해당없음,해당없음,2021-02-26,2021-02-27,DOA,도로변,2021-09-13
조강(Aves),2021-0092,멧비둘기,해당없음,해당없음,2021-02-27,2021-02-28,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0093,너구리,해당없음,해당없음,2021-02-27,2021-02-27,DOA,기타,2021-09-13
조강(Aves),2021-0094,떼까마귀,해당없음,해당없음,2021-02-27,2021-03-19,안락사,건물옆,2021-09-13
조강(Aves),2021-0095,집비둘기,해당없음,해당없음,2021-03-01,2021-03-15,방생,건물옆,2021-09-13
조강(Aves),2021-0096,떼까마귀,해당없음,해당없음,2021-03-03,2021-03-15,방생,도로변,2021-09-13
포유강(Mammalia),2021-0097,고라니,해당없음,해당없음,2021-03-04,2021-03-04,DOA,도로변,2021-09-13
조강(Aves),2021-0098,왜가리,해당없음,해당없음,2021-03-04,2021-03-15,방생,농경지,2021-09-13
포유강(Mammalia),2021-0099,고라니,해당없음,해당없음,2021-03-04,2021-03-05,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0100,고라니,해당없음,해당없음,2021-03-04,2021-03-05,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0101,너구리,해당없음,해당없음,2021-03-06,2021-03-06,DOA,건물옆,2021-09-13
조강(Aves),2021-0102,큰회색머리아비,해당없음,해당없음,2021-03-07,2021-03-08,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0103,너구리,해당없음,해당없음,2021-03-09,2021-03-09,DOA,기타,2021-09-13
조강(Aves),2021-0104,집비둘기,해당없음,해당없음,2021-03-09,2021-03-13,폐사,기타,2021-09-13
포유강(Mammalia),2021-0105,고라니,해당없음,해당없음,2021-03-10,2021-03-10,방생,농경지,2021-09-13
포유강(Mammalia),2021-0106,고라니,해당없음,해당없음,2021-03-11,2021-03-16,안락사,숲,2021-09-13
조강(Aves),2021-0107,집비둘기,해당없음,해당없음,2021-03-11,2021-03-15,방생,건물옆,2021-09-13
조강(Aves),2021-0108,직박구리,해당없음,해당없음,2021-03-12,2021-03-14,방생,건물옆,2021-09-13
조강(Aves),2021-0109,흰죽지,해당없음,해당없음,2021-03-14,2021-03-14,DOA,강 바다,2021-09-13
조강(Aves),2021-0110,괭이갈매기,해당없음,해당없음,2021-03-16,2021-03-16,DOA,건물옆,2021-09-13
조강(Aves),2021-0111,멧비둘기,해당없음,해당없음,2021-03-16,2021-03-16,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0112,하늘다람쥐,328,2 급,2021-03-16,2021-03-16,DOA,건물옆,2021-09-13
조강(Aves),2021-0113,딱새,해당없음,해당없음,2021-03-17,2021-03-17,DOA,건물옆,2021-09-13
조강(Aves),2021-0114,물닭,해당없음,해당없음,2021-03-17,2021-03-22,안락사,기타,2021-09-13
조강(Aves),2021-0115,독수리,243-1,2 급,2021-03-18,2021-03-25,안락사,숲,2021-09-13
조강(Aves),2021-0116,수리부엉이,324-2,2 급,2021-03-18,2021-03-25,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0117,족제비,해당없음,해당없음,2021-03-19,2021-03-19,방생,기타,2021-09-13
조강(Aves),2021-0118,직박구리,해당없음,해당없음,2021-03-19,2021-03-19,방생,건물옆,2021-09-13
조강(Aves),2021-0119,집비둘기,해당없음,해당없음,2021-03-19,2021-04-15,안락사,건물옆,2021-09-13
조강(Aves),2021-0120,독수리,243-1,2 급,2021-03-21,2021-03-22,안락사,숲,2021-09-13
조강(Aves),2021-0121,독수리,243-1,2 급,2021-03-21,2021-04-08,폐사,농경지,2021-09-13
조강(Aves),2021-0122,멧비둘기,해당없음,해당없음,2021-03-21,2021-03-23,폐사,건물옆,2021-09-13
조강(Aves),2021-0123,황조롱이,323-8,해당없음,2021-03-23,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0124,멧비둘기,해당없음,해당없음,2021-03-23,2021-03-23,방생,건물옆,2021-09-13
조강(Aves),2021-0125,박새,해당없음,해당없음,2021-03-23,2021-03-23,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0126,너구리,해당없음,해당없음,2021-03-24,2021-03-30,방생,건물옆,2021-09-13
조강(Aves),2021-0127,매,323-7,1 급,2021-03-24,2021-04-26,안락사,도로변,2021-09-13
포유강(Mammalia),2021-0128,너구리,해당없음,해당없음,2021-03-25,2021-03-27,폐사,건물옆,2021-09-13
조강(Aves),2021-0129,집비둘기,해당없음,해당없음,2021-03-25,2021-04-14,방생,건물옆,2021-09-13
조강(Aves),2021-0130,까치,해당없음,해당없음,2021-03-25,2021-03-30,폐사,도로변,2021-09-13
조강(Aves),2021-0131,딱새,해당없음,해당없음,2021-03-26,2021-04-03,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0132,고라니,해당없음,해당없음,2021-03-26,2021-03-26,안락사,도로변,2021-09-13
조강(Aves),2021-0133,멧비둘기,해당없음,해당없음,2021-03-27,2021-04-30,방생,기타,2021-09-13
조강(Aves),2021-0134,떼까마귀,해당없음,해당없음,2021-03-27,2021-03-28,안락사,농경지,2021-09-13
포유강(Mammalia),2021-0135,족제비,해당없음,해당없음,2021-03-29,2021-03-30,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0136,고라니,해당없음,해당없음,2021-03-30,2021-04-13,폐사,숲,2021-09-13
조강(Aves),2021-0137,개똥지빠귀,해당없음,해당없음,2021-03-30,2021-03-30,DOA,건물옆,2021-09-13
조강(Aves),2021-0138,딱새,해당없음,해당없음,2021-03-30,2021-03-30,방생,건물옆,2021-09-13
조강(Aves),2021-0139,제비,해당없음,해당없음,2021-03-30,2021-04-02,방생,건물옆,2021-09-13
조강(Aves),2021-0140,집비둘기,해당없음,해당없음,2021-03-31,2021-04-05,안락사,건물옆,2021-09-13
포유강(Mammalia),2021-0141,고라니,해당없음,해당없음,2021-03-31,2021-04-03,폐사,도로변,2021-09-13
조강(Aves),2021-0142,까치,해당없음,해당없음,2021-03-31,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0143,까치,해당없음,해당없음,2021-03-31,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0144,꿩,해당없음,해당없음,2021-04-01,2021-04-01,DOA,건물옆,2021-09-13
조강(Aves),2021-0145,집비둘기,해당없음,해당없음,2021-04-03,2021-04-14,방생,건물옆,2021-09-13
조강(Aves),2021-0146,붉은머리오목눈이,해당없음,해당없음,2021-04-05,2021-04-07,방생,건물옆,2021-09-13
조강(Aves),2021-0147,집비둘기,해당없음,해당없음,2021-04-05,2021-04-30,방생,건물옆,2021-09-13
조강(Aves),2021-0148,집비둘기,해당없음,해당없음,2021-04-06,2021-04-30,방생,건물옆,2021-09-13
조강(Aves),2021-0149,직박구리,해당없음,해당없음,2021-04-06,2021-04-07,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0150,고라니,해당없음,해당없음,2021-04-07,2021-04-07,안락사,도로변,2021-09-13
조강(Aves),2021-0151,집비둘기,해당없음,해당없음,2021-04-08,2021-04-08,DOA,건물옆,2021-09-13
조강(Aves),2021-0152,상모솔새,해당없음,해당없음,2021-04-08,2021-04-08,DOA,건물옆,2021-09-13
조강(Aves),2021-0153,직박구리,해당없음,해당없음,2021-04-09,2021-04-11,방생,건물옆,2021-09-13
조강(Aves),2021-0154,집비둘기,해당없음,해당없음,2021-04-09,2021-05-07,방생,도로변,2021-09-13
포유강(Mammalia),2021-0155,고라니,해당없음,해당없음,2021-04-11,2021-04-11,DOA,도로변,2021-09-13
조강(Aves),2021-0156,집비둘기,해당없음,해당없음,2021-04-11,2021-05-07,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0157,노루,해당없음,해당없음,2021-04-12,2021-04-12,DOA,도로변,2021-09-13
조강(Aves),2021-0158,소쩍새,324-6,해당없음,2021-04-13,2021-04-14,방생,건물옆,2021-09-13
조강(Aves),2021-0159,집비둘기,해당없음,해당없음,2021-04-13,2021-05-07,방생,건물옆,2021-09-13
조강(Aves),2021-0160,까치,해당없음,해당없음,2021-04-10,2021-04-15,안락사,기타,2021-09-13
조강(Aves),2021-0161,꿩,해당없음,해당없음,2021-04-15,2021-04-15,DOA,도로변,2021-09-13
조강(Aves),2021-0162,멧비둘기,해당없음,해당없음,2021-04-16,2021-04-16,폐사,건물옆,2021-09-13
조강(Aves),2021-0163,바다비오리,해당없음,해당없음,2021-04-16,2021-04-16,안락사,건물옆,2021-09-13
조강(Aves),2021-0164,집비둘기,해당없음,해당없음,2021-04-16,2021-04-16,DOA,도로변,2021-09-13
조강(Aves),2021-0165,검은지빠귀,해당없음,해당없음,2021-04-16,2021-04-17,DOA,건물옆,2021-09-13
조강(Aves),2021-0166,까치,해당없음,해당없음,2021-04-17,2021-05-27,방생,기타,2021-09-13
포유강(Mammalia),2021-0167,고라니,해당없음,해당없음,2021-04-17,2021-04-17,DOA,도로변,2021-09-13
조강(Aves),2021-0168,물총새,해당없음,해당없음,2021-04-19,2021-05-10,방생,도로변,2021-09-13
조강(Aves),2021-0169,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0170,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0171,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0172,딱새,해당없음,해당없음,2021-04-19,2021-04-21,안락사,건물옆,2021-09-13
조강(Aves),2021-0173,딱새,해당없음,해당없음,2021-04-19,2021-04-21,폐사,건물옆,2021-09-13
포유강(Mammalia),2021-0174,고라니,해당없음,해당없음,2021-04-19,2021-04-19,DOA,도로변,2021-09-13
조강(Aves),2021-0175,까치,해당없음,해당없음,2021-04-19,2021-04-20,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0176,고라니,해당없음,해당없음,2021-04-19,2021-04-20,안락사,건물옆,2021-09-13
조강(Aves),2021-0177,소쩍새,324-6,해당없음,2021-04-20,2021-04-22,방생,건물옆,2021-09-13
조강(Aves),2021-0178,까치,해당없음,해당없음,2021-04-21,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0179,까치,해당없음,해당없음,2021-04-21,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0180,까치,해당없음,해당없음,2021-04-21,2021-05-27,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0181,고라니,해당없음,해당없음,2021-04-21,2021-04-21,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0182,고라니,해당없음,해당없음,2021-04-22,2021-04-22,DOA,도로변,2021-09-13
조강(Aves),2021-0183,딱새,해당없음,해당없음,2021-04-23,2021-04-27,폐사,도로변,2021-09-13
포유강(Mammalia),2021-0184,고라니,해당없음,해당없음,2021-04-24,2021-04-24,DOA,도로변,2021-09-13
조강(Aves),2021-0185,까치,해당없음,해당없음,2021-04-24,2021-05-15,폐사,숲,2021-09-13
조강(Aves),2021-0186,직박구리,해당없음,해당없음,2021-04-26,2021-04-26,방생,도로변,2021-09-13
포유강(Mammalia),2021-0187,너구리,해당없음,해당없음,2021-04-26,2021-07-23,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0188,고라니,해당없음,해당없음,2021-04-26,2021-04-26,방생,기타,2021-09-13
조강(Aves),2021-0189,집비둘기,해당없음,해당없음,2021-04-27,2021-05-07,방생,건물옆,2021-09-13
조강(Aves),2021-0190,까치,해당없음,해당없음,2021-04-27,2021-06-04,방생,건물옆,2021-09-13
조강(Aves),2021-0191,까치,해당없음,해당없음,2021-04-27,2021-04-27,DOA,건물옆,2021-09-13
조강(Aves),2021-0192,소쩍새,324-6,해당없음,2021-04-27,2021-04-30,방생,건물옆,2021-09-13
조강(Aves),2021-0193,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-02,폐사,건물옆,2021-09-13
조강(Aves),2021-0194,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-01,폐사,건물옆,2021-09-13
조강(Aves),2021-0195,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-02,폐사,건물옆,2021-09-13
조강(Aves),2021-0196,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-04,폐사,건물옆,2021-09-13
조강(Aves),2021-0197,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-02,폐사,건물옆,2021-09-13
조강(Aves),2021-0198,곤줄박이,해당없음,해당없음,2021-04-28,2021-05-03,폐사,도로변,2021-09-13
조강(Aves),2021-0199,까치,해당없음,해당없음,2021-04-28,2021-04-28,DOA,도로변,2021-09-13
조강(Aves),2021-0200,멧비둘기,해당없음,해당없음,2021-04-28,2021-04-29,안락사,건물옆,2021-09-13
조강(Aves),2021-0201,까치,해당없음,해당없음,2021-04-28,2021-04-29,DOA,도로변,2021-09-13
조강(Aves),2021-0202,까치,해당없음,해당없음,2021-04-28,2021-04-29,DOA,건물옆,2021-09-13
조강(Aves),2021-0203,멧비둘기,해당없음,해당없음,2021-04-29,2021-04-29,DOA,도로변,2021-09-13
조강(Aves),2021-0204,물총새,해당없음,해당없음,2021-04-29,2021-04-29,DOA,건물옆,2021-09-13
조강(Aves),2021-0205,까치,해당없음,해당없음,2021-04-29,2021-04-29,DOA,건물옆,2021-09-13
조강(Aves),2021-0206,물총새,해당없음,해당없음,2021-04-30,2021-05-01,DOA,건물옆,2021-09-13
조강(Aves),2021-0207,집비둘기,해당없음,해당없음,2021-04-30,2021-08-14,방생,건물옆,2021-09-13
조강(Aves),2021-0208,황조롱이,323-8,해당없음,2021-04-30,2021-05-06,안락사,건물옆,2021-09-13
조강(Aves),2021-0209,북방검은머리쑥새,해당없음,해당없음,2021-05-01,2021-05-01,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0210,고라니,해당없음,해당없음,2021-05-02,2021-05-02,DOA,건물옆,2021-09-13
포유강(Mammalia),2021-0211,고라니,해당없음,해당없음,2021-05-02,2021-05-02,DOA,도로변,2021-09-13
포유강(Mammalia),2021-0212,고라니,해당없음,해당없음,2021-05-02,2021-05-02,DOA,도로변,2021-09-13
조강(Aves),2021-0213,까치,해당없음,해당없음,2021-05-02,2021-05-27,방생,도로변,2021-09-13
포유강(Mammalia),2021-0214,노루,해당없음,해당없음,2021-05-03,2021-05-04,방생,농경지,2021-09-13
포유강(Mammalia),2021-0215,하늘다람쥐,328,2 급,2021-05-03,2021-06-10,방생,도로변,2021-09-13
포유강(Mammalia),2021-0216,너구리,해당없음,해당없음,2021-05-03,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0217,소쩍새,324-6,해당없음,2021-05-03,2021-05-07,방생,기타,2021-09-13
조강(Aves),2021-0218,참새,해당없음,해당없음,2021-05-04,2021-05-25,방생,건물옆,2021-09-13
조강(Aves),2021-0219,청딱다구리,해당없음,해당없음,2021-05-04,2021-05-24,안락사,건물옆,2021-09-13
조강(Aves),2021-0220,박새,해당없음,해당없음,2021-05-04,2021-05-04,DOA,건물옆,2021-09-13
조강(Aves),2021-0221,참새,해당없음,해당없음,2021-05-04,2021-05-04,DOA,건물옆,2021-09-13
조강(Aves),2021-0222,까치,해당없음,해당없음,2021-05-05,2021-05-27,방생,건물옆,2021-09-13
조강(Aves),2021-0223,까치,해당없음,해당없음,2021-05-05,2021-05-27,방생,건물옆,2021-09-13
포유강(Mammalia),2021-0224,고라니,해당없음,해당없음,2021-05-05,2021-05-05,방생,건물옆,2021-09-13
조강(Aves),2021-0225,집비둘기,해당없음,해당없음,2021-05-05,2021-08-14,방생,건물옆,2021-09-13
조강(Aves),2021-0226,까치,해당없음,해당없음,2021-05-06,2021-06-04,방생,건물옆,2021-09-13
